qltg,1=龟甲冬青
oplq,1=数字图象
oplw,1=数字图像
opkw,1=数字器件
opuk,1=数字商品
opwl,1=数字传输
opur,1=数字交换
opkl,1=数字中国
otrg,1=数千年来
otdf,1=数千万元
ofrg,1=数十年来
ofwj,1=数十公里
ofwr,1=数十亿年
ofww,1=数十亿人
ofdr,1=数十万年
ofdk,1=数十万只
ofdy,1=数十万亩
ofdw,1=数十万个
ogpu,1=数列空间
omyp,1=数典忘祖
owgr,1=数值逼近
owcj,1=数值通量
owyt,1=数值计算
owda,1=数值耗散
owon,1=数值粘性
owtw,1=数值等价
owyi,1=数值方法
owor,1=数值数据
owra,1=数值扩散
owbt,1=数值孔径
owft,1=数值地籍
owws,1=数值分析
onty,1=数以千计
ondy,1=数以万计
ovpg,1=数九寒天
opgn,1=数之不尽
ogeo,1=数不胜数
ogir,1=数不清的
ogof,1=数一数二
ajpf,1=敬贤礼士
aygt,1=敬谢不敏
ayyq,1=敬请谅解
aymy,1=敬请见谅
aysn,1=敬请查收
ayat,1=敬请期待
ayty,1=敬请垂询
aydy,1=敬请原谅
ayij,1=敬请光临
aapj,1=敬若神明
abao,1=敬职敬业
adfp,1=敬而远之
afex,1=敬老爱幼
afux,1=敬老慈幼
afnw,1=敬老怜贫
arnj,1=敬授民时
arwj,1=敬授人时
avhp,1=敬如上宾
aggj,1=敬事不暇
abwp,1=敬了个礼
aoop,1=敬业精神
aoem,1=敬业爱岗
aoqv,1=敬业乐群
yodp,1=敦煌石窟
yopq,1=敦煌宾馆
yphy,1=敦宗睦族
aulf,1=散装转运
autp,1=散装舱容
aupt,1=散装容积
aufo,1=散装填料
aokf,1=散粒噪声
ahyc,1=散瞳试验
atks,1=散生中柱
awik,1=散焦测距
army,1=散热风扇
aors,1=散料抽样
aybt,1=散文随笔
aryy,1=散播谣言
adbo,1=散布函数
atcw,1=散射通信
aimp,1=散学典礼
awpx,1=散华礼弥
agfx,1=散列索引
agbo,1=散列函数
aric,1=散兵游勇
nddx,1=敢达在线
nenn,1=敢爱敢恨
nsnf,1=敢想敢干
nsnw,1=敢想敢做
nvny,1=敢怒敢言
nbmu,1=敢出风头
njmb,1=敢冒风险
nwni,1=敢作敢当
nget,1=敢于胜利
igls,1=敞开思想
igdu,1=敞开大门
ikns,1=敞口发酵
uxgs,1=敝绨恶粟
uvtg,1=敝帚自珍
uvtq,1=敝帚千金
wfnr,1=敛声屏气
fyuu,1=教育部门
fyui,1=教育资源
fyrj,1=教育质量
fyyp,1=教育评定
fyya,1=教育计划
fyto,1=教育行业
fymx,1=教育网络
fyxx,1=教育经费
fygr,1=教育素质
fydp,1=教育研究
fyhr,1=教育点播
fyig,1=教育水平
fysa,1=教育模式
fyyq,1=教育方针
fyyi,1=教育方法
fyfi,1=教育教学
fyfe,1=教育救助
fyhx,1=教育战线
fyls,1=教育思想
fyxn,1=教育引导
fyib,1=教育学院
fyik,1=教育学员
fybv,1=教育子女
fyaf,1=教育基地
fyry,1=教育制度
fywr,1=教育体制
fywn,1=教育人民
fygo,1=教育事业
fbka,1=教职员工
fxql,1=教练乐团
fsqp,1=教材错字
fjus,1=教师资格
fjbo,1=教师职业
fjly,1=教师罢课
fjen,1=教师用书
fjuc,1=教师效能
fjau,1=教师工资
fjwp,1=教师公寓
fpqs,1=教室危机
fims,1=教学风格
fich,1=教学难点
filn,1=教学辅导
firj,1=教学质量
fiyy,1=教学设施
fiph,1=教学视频
ficr,1=教学能手
fitx,1=教学系统
fitl,1=教学策略
fidp,1=教学研究
fist,1=教学相长
fihr,1=教学目的
fihs,1=教学目标
fiya,1=教学方式
fina,1=教学改革
finu,1=教学情况
fipc,1=教学实验
fivw,1=教学媒体
fidx,1=教学大纲
fimp,1=教学内容
fiwk,1=教学仪器
fikn,1=教学中心
fbfy,1=教子无方
fgyd,1=教一识百
gjsq,1=敖日格乐
fttx,1=救生系统
fobk,1=救火队员
fori,1=救火扬沸
fiwn,1=救济贫民
fgrw,1=救死扶伤
frsl,1=救援机车
frgl,1=救援列车
flrq,1=救困扶危
fwta,1=救命稻草
fwpl,1=救命之恩
feuj,1=救助效果
fers,1=救助报酬
fwgw,1=救人一命
fyld,1=救亡图存
fain,1=救世济民
tqro,1=敏锐指数
tdvi,1=敏而好学
tdee,1=敏感肌肤
tdof,1=敏感粘土
tdor,1=敏感数据
tddb,1=敏感故障
tdlp,1=敏感图案
ttcy,1=敌我双方
tnmw,1=敌忾同仇
tcfk,1=敌对进路
tcty,1=敌对行为
tcrl,1=敌对势力
tcwk,1=敌对信号
twtp,1=敌众我寡
uhih,1=效颦学步
ucjp,1=效能监察
uebo,1=效用函数
ujfv,1=效果超好
uklp,1=效忠国家
uymx,1=效应曲线
dbhy,1=故障频度
dbtm,1=故障辞典
dbyu,1=故障访问
dbyv,1=故障记录
dbok,1=故障类别
dbtb,1=故障矩阵
dbji,1=故障电流
dbit,1=故障注入
dbil,1=故障沉默
dbsr,1=故障模拟
dbsa,1=故障模式
dbsi,1=故障检测
dbsv,1=故障查寻
dbnx,1=故障收缩
dbrr,1=故障撒播
dbrt,1=故障插入
dbrf,1=故障接地
dbxw,1=故障弱化
dbtd,1=故障复原
dbqp,1=故障包容
dblg,1=故障办理
dbar,1=故障切换
dbwd,1=故障分布
dbux,1=故障冻结
dbwb,1=故障保险
dvpn,1=故旭之书
drti,1=故技重演
durt,1=故意挑衅
duwp,1=故意伤害
dthq,1=故得此名
dgyh,1=故弄玄虚
dpux,1=故宫瓷母
dcsl,1=故垒西边
dfti,1=故地重游
dlpl,1=故国之思
dwni,1=故剑情深
dtwl,1=故入人罪
dwyi,1=故作高深
dwcr,1=故作矜持
dwti,1=故伎重演
dxrf,1=故乡的云
dxnp,1=故乡怀宁
gxtw,1=政纪处分
gtlb,1=政策界限
gtgf,1=政策环境
gtif,1=政策法规
gtig,1=政策水平
gtyq,1=政策方针
gtry,1=政策措施
gmnb,1=政由己出
gibw,1=政法队伍
giuu,1=政法部门
giib,1=政法学院
gikx,1=政治路线
gigw,1=政治责任
girc,1=政治舞台
gixi,1=政治经济
gigr,1=政治素质
gihr,1=政治目的
gigy,1=政治理论
girn,1=政治热情
giik,1=政治派别
gist,1=政治权利
giyd,1=政治方面
gils,1=政治思想
gind,1=政治局面
gifw,1=政治地位
giqs,1=政治危机
gilj,1=政治力量
giwr,1=政治体制
gssu,1=政权机关
gsvy,1=政权建设
gyue,1=政府首脑
gyem,1=政府采购
gyuu,1=政府部门
gysk,1=政府要员
gysu,1=政府机关
gyrf,1=政府拨款
gypk,1=政府官员
gyds,1=政府大楼
gafu,1=政工干部
gnfa,1=政局动荡
gfrp,1=政协提案
gftk,1=政协委员
gtjr,1=政务电报
gbqu,1=政出多门
gnmd,1=政以贿成
ycfg,1=放马过来
ycro,1=放马后炮
yntt,1=放飞自我
yngs,1=放飞理想
yepv,1=放逐之刃
yleh,1=放轻脚步
yhjm,1=放虎归山
yagl,1=放荡不羁
yuka,1=放羊吃草
yxag,1=放线菌素
yxgl,1=放纵不羁
yxgr,1=放纵不拘
yptx,1=放空管线
yhrf,1=放眼看去
yjyc,1=放电试验
yjjd,1=放电电压
yjpj,1=放电容量
yrka,1=放牛吃草
yoky,1=放煤顺序
yrft,1=放热规律
yrfd,1=放热地面
yoom,1=放火烧山
yigm,1=放浪形骸
yriw,1=放气液体
ysxi,1=放歌纵酒
yhbh,1=放桌子上
ysff,1=放松运动
ysyx,1=放松训练
ysan,1=放松警惕
ystn,1=放松自己
ysui,1=放松疗法
yrgi,1=放手天堂
yrfe,1=放手去爱
yrbk,1=放手了吗
yrgt,1=放手不管
yrgr,1=放手一搏
yngg,1=放心不下
ygxa,1=放开经营
ygfe,1=放开二胎
ytji,1=放射电泳
ytiu,1=放射治疗
ytni,1=放射性水
ytct,1=放射对称
ytqu,1=放射免疫
ypgt,1=放宽政策
yprs,1=放宽抽检
ybjo,1=放孔明灯
ydyc,1=放大试验
ydtb,1=放大矩阵
ydlb,1=放大因子
yfdk,1=放声大哭
yduw,1=放在首位
ydhj,1=放在眼里
ydnj,1=放在心里
ydnh,1=放在心上
ylrs,1=放回抽样
ykjb,1=放哪里了
ypli,1=放之四海
yggn,1=放不下心
yglb,1=放下架子
ygnv,1=放下屠刀
ygqp,1=放下包袱
agab,1=攻速鞋子
anhs,1=攻心战术
anyh,1=攻心为上
apmj,1=攻守同盟
abpr,1=攻子之盾
afrp,1=攻城拔寨
afky,1=攻击距离
aaft,1=攻其无备
aagt,1=攻其不备
aagh,1=攻其一点
auah,1=攻关项目
naja,1=改革时期
nary,1=改革措施
nagy,1=改革开放
naly,1=改革力度
nafr,1=改革元年
nfyh,1=改进调频
nfaw,1=改进工作
nljl,1=改辕易辙
nrig,1=改质沥青
nymr,1=改良肉牛
nvqt,1=改群名片
ngja,1=改正归邪
nirs,1=改梁换柱
nfrw,1=改朝换代
njub,1=改时间了
nyjm,1=改旗易帜
ngtm,1=改政移风
nruy,1=改换门庭
ngtu,1=改恶行善
ngwu,1=改恶从善
nxgx,1=改弦更张
nxjl,1=改弦易辙
nxjx,1=改弦易张
nxjy,1=改张易调
nvqk,1=改建铁路
nvat,1=改建工程
npje,1=改容易貌
nurd,1=改头换面
ngrf,1=改天换地
nfji,1=改土归流
nuti,1=改善生活
nqjv,1=改名易姓
nqrv,1=改名换姓
nyde,1=改变面貌
nytn,1=改变自己
nygu,1=改变现状
nygb,1=改变不了
nbcn,1=改了又改
naqe,1=改东乐县
wwsx,1=攸攸板乡
nwgr,1=收集到的
nqtx,1=收银系统
nxtg,1=收费管理
nxsu,1=收费标准
nxhu,1=收费卡门
nxra,1=收费制式
nxwk,1=收费公路
nxkn,1=收费中心
nmya,1=收购计划
nmws,1=收购价格
nwju,1=收货时间
nwff,1=收货地址
nprk,1=收视反听
nalm,1=收藏加购
nahd,1=收获颇丰
nepp,1=收腰衬衫
neju,1=收腰显瘦
nexa,1=收肌结节
nxyc,1=收缩试验
nxto,1=收缩系数
nxjt,1=收缩映射
nxod,1=收缩断面
nxpp,1=收缩宇宙
nxyr,1=收缩变换
nuws,1=收益分配
niat,1=收漂工程
nfsc,1=收款柜台
nwsq,1=收敛酸锌
nwgy,1=收敛速率
nwxo,1=收敛级数
nwro,1=收敛指数
nwlb,1=收敛因子
nwdl,1=收敛压力
nwaf,1=收敛区域
nwur,1=收敛判据
nuat,1=收效甚微
nfgt,1=收支平衡
nrgn,1=收拾残局
nrnb,1=收拾屋子
nras,1=收拾东西
nvus,1=收录音机
njld,1=收归国有
nmpw,1=收山之作
npfu,1=收容教养
npps,1=收容审查
npph,1=收官之战
nppw,1=收官之作
nlmw,1=收回赔偿
nldw,1=收回成命
nkyr,1=收听广播
nemm,1=收受贿赂
nngu,1=收发开关
nprc,1=收割技能
ngay,1=收到功率
nvta,1=收刀入鞘
nwot,1=收付业务
nwqm,1=收人钱财
npcs,1=收之桑榆
nyne,1=收为己用
fbit,1=支队党委
fqio,1=支链淀粉
fssl,1=支配机车
fsyt,1=支配方程
futk,1=支部委员
fxwk,1=支线公路
fydd,1=支离破碎
fjyr,1=支电话所
frtq,1=支气管镜
frte,1=支气管腺
frto,1=支气管炎
fsto,1=支柱行业
fspy,1=支柱密度
fsuo,1=支柱产业
ffgg,1=支支吾吾
frax,1=支撑菌丝
frie,1=支撑液膜
frbo,1=支撑函数
frgb,1=支撑不了
frpa,1=支援灾区
frnp,1=支援收割
frux,1=支援前线
frtx,1=支持系统
frty,1=支持程序
frxy,1=支护强度
frmy,1=支护刚度
fbxs,1=支承结构
fbiw,1=支承液体
fblo,1=支承圈数
fbdl,1=支承压力
fywo,1=支序分类
fgay,1=支吾其词
fwto,1=支化系数
fwlb,1=支化因子
fwrw,1=支付手段
rqpm,1=攘外安内
rqbq,1=攒锋聚镝
rndp,1=攒眉蹙额
rdbg,1=攒三聚五
sdbc,1=攀龙附骥
sdbm,1=攀龙附凤
syqw,1=攀高狂人
sqla,1=攀钢罢工
sars,1=攀花折柳
sxff,1=攀缘运动
sxxx,1=攀缘纤维
sxuq,1=攀缘竞争
sxst,1=攀缘植物
swym,1=攀登高峰
siqo,1=攀渝钛业
ssty,1=攀树适应
ssay,1=攀枝花市
rsfo,1=擦枪走火
rboa,1=擦出火花
rnco,1=擢发难数
rxss,1=擒纵机构
aggs,1=擎天一柱
awji,1=擎住电流
rxtv,1=操纵自如
rafy,1=操劳过度
rwvg,1=操你妈逼
rwft,1=操作规程
rwcl,1=操作能力
rwtx,1=操作系统
rwld,1=操作界面
rwrm,1=操作手册
rwpt,1=操作实务
rybp,1=擅离职守
rfkq,1=擂鼓鸣金
rfst,1=撮土焚香
ruyr,1=播音主持
rohh,1=播糠眯目
ryyv,1=播放记录
rtcl,1=撬毛台车
rvpm,1=撩妹宝典
rqgd,1=撤销还原
rqdu,1=撤销原判
rbsl,1=撤职查办
rfqj,1=撞击杀虫
rfyl,1=撞击应力
rflb,1=撞击因子
rfco,1=撞击参数
rfkn,1=撞击中心
rgjw,1=撕逼时代
rgsj,1=撕裂模量
rgon,1=撕裂断层
rdeh,1=撕破脸皮
rcqp,1=撒马尔罕
rfvg,1=撒起娇来
reyk,1=撒腿就跑
rdul,1=撒砂装置
rmvr,1=撒由那拉
ridg,1=撒泼耍赖
rrwp,1=撒手人寰
rrgt,1=撒手不管
rnib,1=撒尿小孩
riql,1=撒小乐团
rvri,1=撒娇打滚
rsky,1=撑杆跳高
rgdx,1=撑开牵引
rxix,1=撇缆活结
ryai,1=撇弯切滩
runc,1=撅着尾巴
autb,1=摹状算子
rqsn,1=摸金校尉
rear,1=摸胸募捐
rewv,1=摸胸伴娘
rrir,1=摸爬滚打
ybrr,1=摩阻损失
ysgx,1=摩西五经
yclb,1=摩能国际
yyrk,1=摩肩接踵
ywjw,1=摩登时代
yrbl,1=摩擦阻力
yrto,1=摩擦系数
yuri,1=摩拳擦掌
yrul,1=摩拜单车
yrlr,1=摩托罗拉
yrui,1=摩托痴汉
ynva,1=摩尼灵牙
yqcj,1=摩尔通量
yqrj,1=摩尔质量
yqrp,1=摩尔热容
yqxi,1=摩尔比法
yqpt,1=摩尔定律
yqqg,1=摩尔多瓦
ylmi,1=摩加迪沙
ywks,1=摩仁嘎查
rnre,1=摧眉折腰
rrgl,1=摘挂列车
rbsp,1=摘取桂冠
rudf,1=摔门而去
robe,1=摔断了腿
rbgk,1=摔了一跤
rbvw,1=摒除杂念
rwds,1=摊余成本
rlfy,1=摇轴支座
rtgy,1=摇身一变
rapr,1=摇蓝之手
riag,1=摇滚藏獒
rsxt,1=摇枕弹簧
rskl,1=摇枕吊轴
rjtu,1=摇曳生姿
rjqu,1=摇曳多姿
rrwb,1=摇摇欲坠
rrjj,1=摇摇晃晃
rrgp,1=摇摆不定
ruje,1=摇头晃脑
rurn,1=摇头摆尾
rdft,1=摇唇鼓舌
rwfu,1=摇合培养
rbru,1=摇了摇头
rbgg,1=摇了一下
rdub,1=摆龙门阵
rewl,1=摆脱贫困
rxhl,1=摆线齿轮
rgwl,1=摆正位置
rryh,1=摆摊设点
ralx,1=摆式罗经
rgbr,1=摆开阵势
rddu,1=摆在面前
rfsc,1=摆动配对
rfti,1=摆动盘法
rqis,1=摄氏温标
rjyf,1=摄影记者
rjas,1=摄影艺术
rjqw,1=摄影留念
rjwn,1=摄影个展
ruco,1=摄头参数
rfbo,1=摄动函数
rwfr,1=摄人魂魄
rero,1=搽脂抹粉
rfrg,1=携起手来
rdcl,1=携砂能力
rrjo,1=携播螨类
rraf,1=携手共进
rklm,1=携号转网
pylu,1=搴旗斩将
rkml,1=搭顺风车
rots,1=搭焊管机
rsqk,1=搭桥铺路
rsdx,1=搭桥牵线
rujy,1=搬道电话
rdde,1=搬石砸脚
rgjd,1=搬弄是非
ruas,1=搪瓷薄板
rtik,1=搞笑小品
rtgw,1=搞特殊化
rixi,1=搞活经济
rilb,1=搞小圈子
rpbi,1=搞定了没
rvbk,1=搞好了吗
rgis,1=搞不清楚
rgnb,1=搞不懂了
rete,1=搜肠刮肚
rffd,1=搜索雷达
rftl,1=搜索策略
rfse,1=搜索枯肠
rfxa,1=搜索引擎
rvut,1=搜寻半径
rorr,1=搓粉抟朱
riti,1=搅海翻江
rrfq,1=搅拌均匀
rfqa,1=搁墩负荷
ruar,1=搀前落后
resi,1=揽胜极光
repr,1=援助之手
rghm,1=揭开战幔
rawa,1=揭幕仪式
rggq,1=揭不开锅
rmlq,1=揣骨疃镇
rdqp,1=揣而锐之
rjyl,1=揣时度力
rjch,1=握蛇骑虎
rjuu,1=握紧拳头
rsbh,1=握粟出卜
rupp,1=握拳宝宝
rryc,1=握手言欢
rbay,1=插队落户
rqdl,1=插针压力
reou,1=插脚灯头
rfcn,1=插翅难飞
rfci,1=插翅难逃
rnry,1=插层反应
rnwi,1=插层化学
rtji,1=插入电流
rtjw,1=插入易位
rwah,1=插值节点
rwyi,1=插值方法
rwnr,1=插值性质
rwbo,1=插值函数
rwnl,1=插件导轨
rghy,1=插不上话
rgsb,1=插一杠子
ryrj,1=提高质量
ryan,1=提高警惕
ryin,1=提高觉悟
ryti,1=提高自学
ryuu,1=提高效益
rgbx,1=提速降费
rrla,1=提质加工
ryvr,1=提请逮捕
rels,1=提肌圆枕
rbra,1=提职提薪
rxvv,1=提线娃娃
rxtu,1=提纯复壮
rxrw,1=提级提价
rtyp,1=提笔忘字
rtpm,1=提租补贴
rpij,1=提神水晶
rrfu,1=提拔干部
rroa,1=提拉米苏
rnke,1=提心吊胆
ruun,1=提单背书
rtpk,1=提升容器
rtwl,1=提升传输
ruvw,1=提前退休
runf,1=提前尽孝
rupd,1=提前完成
rbry,1=提出抗议
rbhy,1=提出上诉
rwxf,1=提供线索
rwor,1=提供数据
rwvy,1=提个建议
rddw,1=提三大供
rdxm,1=描龙绣凤
rsxy,1=描述统计
ryul,1=描记装置
rgyr,1=揆理度势
rirw,1=掺混插值
rvcj,1=掺杂能量
rvjw,1=掺杂晶体
rwak,1=掺假药品
rtxd,1=措辞强硬
rtgd,1=措辞严厉
rygi,1=措词不当
rlpv,1=措置裕如
ryah,1=措施项目
rrge,1=措手不及
rgeb,1=措不及防
rddi,1=掩面而泣
rdki,1=掩面哭泣
ragw,1=掩藏不住
raro,1=掩蔽指数
rrti,1=掩护筒法
rudl,1=掩卷而思
ruil,1=掩卷沉思
ragt,1=掩其不备
rwbh,1=掩人耳目
rbbu,1=推陈出新
rudt,1=推门而入
rquk,1=推销产品
ruao,1=推送式炉
rnwr,1=推迟位势
rfms,1=推进风机
rfhu,1=推进皮瓣
rfna,1=推进改革
rfks,1=推进器柱
rlpb,1=推轧穿孔
rjyc,1=推贤让能
rysm,1=推诚相见
rpur,1=推襟送抱
regw,1=推脱责任
rdyp,1=推而广之
rtxh,1=推算终点
rtpw,1=推算定位
rgxh,1=推理结点
rgyi,1=推理方法
rgbq,1=推理子句
riwi,1=推涛作浪
riwj,1=推测储量
riei,1=推波助澜
rsrg,1=推杯换盏
rsih,1=推杆活齿
rnle,1=推心置腹
ryye,1=推广应用
rykt,1=推广品种
rytf,1=推广先进
rnew,1=推己及人
rpdl,1=推定有罪
rdss,1=推压机构
rflj,1=推动力量
rfwe,1=推动作用
rlto,1=推力系数
rlup,1=推力减额
ravy,1=推切剥离
rdbl,1=推三阻四
rofl,1=控烟卖国
rifl,1=控温运输
ripu,1=控油祛痘
rjio,1=控时淬火
rnat,1=控导工程
rrcf,1=控制驱动
rrcu,1=控制通道
rrcr,1=控制通气
rrlw,1=控制软件
rrbs,1=控制联想
rrms,1=控制网格
rrtx,1=控制系统
rrtl,1=控制策略
rrhs,1=控制目标
rrjx,1=控制电缆
rrjk,1=控制电器
rrjd,1=控制电压
rrjt,1=控制时程
rror,1=控制数据
rrnx,1=控制情绪
rrux,1=控制总线
rrpt,1=控制字符
rrvw,1=控制媒体
rrcp,1=控制台室
rryj,1=控制变量
rrnf,1=控制发霉
rrcj,1=控制参量
rrau,1=控制区间
rrup,1=控制冲突
rrwj,1=控制储量
rrwk,1=控制人口
rrgb,1=控制不了
rccl,1=接通能力
rcji,1=接通电流
rcju,1=接通时间
rrty,1=接近长度
rrky,1=接近距离
rrnd,1=接近发码
rlwk,1=接车信号
rkxy,1=接踵比肩
rqex,1=接触胶结
rqmn,1=接触网屏
rqua,1=接触疲劳
rqjb,1=接触电阻
rqjr,1=接触电势
rqjw,1=接触电位
rqow,1=接触烧伤
rqrr,1=接触抑制
rqur,1=接触交换
rxdr,1=接缝破损
rxiu,1=接缝灌浆
ruyu,1=接着说道
rhtx,1=接点系统
rhog,1=接点断开
rnyp,1=接收证实
rnxl,1=接收线圈
rnpy,1=接收牢房
rnwu,1=接收信道
ruhx,1=接头瞎缝
rugs,1=接头夹板
rful,1=接地装置
rfub,1=接地端子
rfjb,1=接地电阻
rfjk,1=接地电路
rfdb,1=接地故障
rfri,1=接地排流
rfnw,1=接地导体
rfvu,1=接地刀闸
rkyr,1=接吻高手
rkhq,1=接吻眼镜
rkjy,1=接听电话
rkqx,1=接听免费
rwju,1=接合时间
rkgy,1=接口速率
rkfa,1=接口规范
rkfx,1=接口规约
rksu,1=接口标准
rkrs,1=接口技术
rkgq,1=接口开销
rkua,1=接口净荷
rkyw,1=接口主体
rewh,1=接受位点
rewt,1=接受任务
regb,1=接受不了
rlpk,1=接力赛跑
rlxp,1=接力比赛
rfld,1=接二连三
rwjy,1=接个电话
rggj,1=接下来是
rdll,1=接三连四
rctg,1=探骊得珠
rcgr,1=探马来报
rbbk,1=探险队员
rqul,1=探钻装置
recx,1=探采对比
rfwu,1=探索创新
rpot,1=探空火箭
rpty,1=探究行为
rind,1=探海屠龙
rijx,1=探测电缆
rsjs,1=探查电极
rxfb,1=探幽索隐
rpxl,1=探察线圈
rpes,1=探宫腔术
rure,1=探头探脑
rgbt,1=探囊取物
rkhp,1=探听虚实
ruyd,1=探亲访友
rfds,1=探井成本
rvwp,1=探丸借客
rjdj,1=掠日彗星
rfaf,1=掠地攻城
rfsi,1=掘进机法
rfyi,1=掘进方法
rfer,1=掘井及泉
rcwe,1=排驱作用
rmjf,1=排风坚井
rcqx,1=排难解纷
rbbd,1=排除障碍
rbdb,1=排除故障
rbnn,1=排除异己
rbdq,1=排除在外
rbdc,1=排除万难
rbfm,1=排队规则
rbmx,1=排队网络
rbpu,1=排队空间
rbgy,1=排队理论
rbju,1=排队时间
rdjo,1=排石颗粒
rutb,1=排着长队
rgxp,1=排球比赛
roms,1=排烟风机
rotx,1=排烟系统
rojf,1=排烟竖井
rouy,1=排烃效率
riso,1=排涝模数
riwd,1=排汽余面
riac,1=排汗功能
rifa,1=排水规划
ricl,1=排水能力
rixe,1=排水细胞
ritu,1=排水管道
rijd,1=排水电耗
ridu,1=排水泵站
risi,1=排水板法
riui,1=排水斗沟
rifi,1=排水干沟
rigt,1=排水型船
rrul,1=排气装置
rrhl,1=排气凸轮
rlsf,1=排架桩墩
rrnn,1=排斥异己
rdgg,1=排成一列
rymx,1=排序网络
rytl,1=排序策略
rmwi,1=排山倒海
rnjd,1=排尿晕厥
rnro,1=排尿指数
rnlc,1=排尿困难
rimg,1=排尘风速
rpft,1=排它过程
rkne,1=排号怀孕
rgfk,1=排列进路
rgto,1=排列系数
rgco,1=排列参数
rbiw,1=排出小体
rbdu,1=排出压头
rbdl,1=排出压力
rrdb,1=排兵布阵
rwyx,1=排便训练
rwdb,1=排众而出
rghb,1=排不上队
rufn,1=掐头去尾
rnpb,1=掏心窝子
rygr,1=掏底开挖
rqpr,1=掎角之势
imub,1=掌骨间隙
iuua,1=掌间关节
iuge,1=掌背静脉
isdk,1=掌柜在吗
irsl,1=掌握权力
irnu,1=掌握情况
iryf,1=掌握主动
irot,1=掌握业务
infe,1=掌心动脉
iffd,1=掌声鼓励
ifvf,1=掌声如雷
ihje,1=掌上电脑
ihjg,1=掌上明珠
ihdi,1=掌上大学
rlsk,1=掉转枪口
rewr,1=掉脑袋舞
rioq,1=掉渣烧饼
rdrb,1=掉厕所了
rnln,1=掉以轻心
rsgw,1=授柄于人
rjlb,1=授时因子
rywa,1=授旗仪式
regu,1=授受不亲
rkwa,1=授勋仪式
rwnq,1=授人以鱼
rwni,1=授人以渔
rwns,1=授人以柄
rpnq,1=授之以鱼
rpni,1=授之以渔
roqa,1=授业解惑
rmfi,1=掀风鼓浪
rktw,1=捷足先登
rktt,1=捷足先得
regk,1=捶胸顿足
reke,1=捶胸跌脚
rdsl,1=捱三顶四
rglq,1=据理力争
ruwp,1=据新华社
rvry,1=据她所说
ruxs,1=捭阖纵横
rsua,1=捩椎关节
redt,1=捧腹大笑
rxop,1=捣结炉衬
rdiu,1=捣成泥状
rluo,1=捣固装煤
rmee,1=换骨脱胎
rtui,1=换血疗法
reiv,1=换脸少女
refg,1=换脸夫妻
rjla,1=换肾黑幕
rtbl,1=换算阻力
rttj,1=换算重量
rtlb,1=换算因子
rsbr,1=换相联接
rsjb,1=换相电阻
rsjk,1=换相电路
rsjr,1=换相电抗
rsjd,1=换相电感
rsma,1=换相周期
rgot,1=换画灯箱
riye,1=换洗衣服
rnti,1=换届选举
rbxf,1=换子疑云
rbdd,1=换子成龙
rvye,1=换好衣服
rtbq,1=换向联锁
rtmx,1=换向曲线
rtju,1=换向时间
rkdb,1=换号码了
rwlf,1=换位思考
rwbv,1=换位子群
rwdw,1=换件大修
rbgt,1=换了一种
rtsx,1=换乘枢纽
rwqy,1=换个角度
rdbo,1=损耗函数
rpmw,1=损害赔偿
rpyt,1=损害义务
rril,1=损失浮力
rrru,1=损兵折将
rwlw,1=损伤软化
rwjw,1=损伤电位
rwxj,1=损伤张量
rwli,1=损伤力学
rwum,1=损伤准则
rwen,1=损人肥己
rwpn,1=损人害己
rwtn,1=损人利己
rpcr,1=损之又损
rdit,1=捞砂滚筒
rnpk,1=捞尸神器
rqxt,1=捕鲸母船
rwnj,1=捕食性螨
rmib,1=捕风汉子
rmrj,1=捕风捉影
rrcl,1=捕捞能力
rtrl,1=捐躯报国
ruei,1=捐资助学
refw,1=捐肝救父
romy,1=捐精购房
ropm,1=捐精补贴
roqg,1=捐精猝死
ryuv,1=捐弃前嫌
rtgp,1=捏造事实
rrre,1=捏手捏脚
rbri,1=捏了把汗
rgri,1=捏一把汗
rbys,1=捍卫主权
rmre,1=捉贼捉脏
rpme,1=捉襟见肘
rwjp,1=捉拿归案
rvdj,1=捉妖大师
rvpk,1=捉奸神器
rvwr,1=捉奸侦探
rxqw,1=捆绑销售
rxvj,1=捆绑女星
rcjp,1=捅马蜂窝
rmks,1=捅风口机
rbgv,1=捅了一刀
rlfw,1=挽回载体
rlrr,1=挽回损失
ryor,1=挺麻烦的
rcer,1=挺难受的
rfur,1=挺过瘾的
rtdb,1=挺身而出
rece,1=挺胸叠肚
rehe,1=挺胸凸肚
rowr,1=挺烦人的
riyr,1=挺漂亮的
rver,1=挺好用的
rdpr,1=挺厉害的
rwpr,1=挺便宜的
rauo,1=振荡次数
rapp,1=振荡宇宙
rafu,1=振荡培养
rnyk,1=振臂高呼
rdnb,1=振聋发聩
rrdy,1=振振有词
rmpb,1=振幅突出
rmqx,1=振幅包络
rmwp,1=振幅分割
rbxy,1=振子强度
rdop,1=振奋精神
rdwn,1=振奋人心
rfhy,1=振动频率
rfix,1=振动波纹
rfsd,1=振动模态
rfxc,1=振动弛豫
rfig,1=振动小棘
rfiw,1=振动小体
rfma,1=振动周期
rikw,1=振兴中华
rmrd,1=挫骨扬灰
rewf,1=挪用公款
rwwe,1=挪作他用
ruey,1=挨门逐户
rury,1=挨门挨户
ryru,1=挨肩擦背
rrek,1=挨打受骂
rpry,1=挨家挨户
rtvr,1=挨千刀的
rfgp,1=挥霍一空
rqvf,1=挥金如土
ritv,1=挥洒自如
